add-4-4          "#scale[0.8]{ADD +4d M_{D}=4 TeV}"  7.652e-04        50000      5.65946375917e+04    pythia8   pandaf/004   ADDmonoPhoton_MD-4_d-4_13TeV_pythia8+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
add-4-5          "#scale[0.8]{ADD +5d M_{D}=4 TeV}"  5.702e-04        50000      6.40610353077e+04    pythia8   pandaf/004   ADDmonoPhoton_MD-4_d-5_13TeV_pythia8+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
add-4-6          "#scale[0.8]{ADD +6d M_{D}=4 TeV}"  4.356e-04        50000      6.70286395248e+04    pythia8   pandaf/004   ADDmonoPhoton_MD-4_d-6_13TeV_pythia8+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
add-4-8          "#scale[0.8]{ADD +8d M_{D}=4 TeV}"  2.780e-04        50000      7.30255052865e+04    pythia8   pandaf/004   ADDmonoPhoton_MD-4_d-8_13TeV_pythia8+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
add-5-3          "#scale[0.8]{ADD +3d M_{D}=5 TeV}"  4.340e-04        50000      5.23531642764e+04    pythia8   pandaf/004   ADDmonoPhoton_MD-5_d-3_13TeV_pythia8+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
add-5-4          "#scale[0.8]{ADD +4d M_{D}=5 TeV}"  2.630e-04        50000      5.82835556966e+04    pythia8   pandaf/004   ADDmonoPhoton_MD-5_d-4_13TeV_pythia8+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
add-5-5          "#scale[0.8]{ADD +5d M_{D}=5 TeV}"  1.681e-04        50000      6.16221290896e+04    pythia8   pandaf/004   ADDmonoPhoton_MD-5_d-5_13TeV_pythia8+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
add-5-6          "#scale[0.8]{ADD +6d M_{D}=5 TeV}"  1.135e-04        50000      6.85105696652e+04    pythia8   pandaf/004   ADDmonoPhoton_MD-5_d-6_13TeV_pythia8+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
add-5-8          "#scale[0.8]{ADD +8d M_{D}=5 TeV}"  5.828e-05        50000      7.15068839418e+04    pythia8   pandaf/004   ADDmonoPhoton_MD-5_d-8_13TeV_pythia8+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
add-6-3          "#scale[0.8]{ADD +3d M_{D}=6 TeV}"  3.036e-03        50000      5.36237274007e+04    pythia8   pandaf/004   ADDmonoPhoton_MD-6_d-3_13TeV_pythia8+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
add-6-4          "#scale[0.8]{ADD +4d M_{D}=6 TeV}"  2.572e-03        50000      5.87084226579e+04    pythia8   pandaf/004   ADDmonoPhoton_MD-6_d-4_13TeV_pythia8+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
add-6-5          "#scale[0.8]{ADD +5d M_{D}=6 TeV}"  2.172e-03        50000      6.48086005837e+04    pythia8   pandaf/004   ADDmonoPhoton_MD-6_d-5_13TeV_pythia8+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
add-6-6          "#scale[0.8]{ADD +6d M_{D}=6 TeV}"  1.717e-03        49053      6.64014397310e+04    pythia8   pandaf/004   ADDmonoPhoton_MD-6_d-6_13TeV_pythia8+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
add-6-8          "#scale[0.8]{ADD +8d M_{D}=6 TeV}"  1.605e-03        50000      6.56806887383e+04    pythia8   pandaf/004   ADDmonoPhoton_MD-6_d-8_13TeV_pythia8+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
