### Data
gj-400           "#gamma+jet"                        277.4                2476770    2476770.0            filefi/042        GJets_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM
gj-600           "#gamma+jet"                        93.38                2550765    2550765.0            filefi/042        GJets_HT-600ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM
qcd-200          "QCD"                               1735000.0            18718905   18718905.0           filefi/042        QCD_HT200to300_TuneCUETP8M1_13TeV-madgraphMLM-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v2+AODSIM
qcd-300          "QCD"                               366800.0             20278243   20278243.0           filefi/042        QCD_HT300to500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v2+AODSIM
qcd-500          "QCD"                               29370.0              19664159   19664159.0           filefi/042        QCD_HT500to700_TuneCUETP8M1_13TeV-madgraphMLM-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM
qcd-700          "QCD"                               6524.0               15356448   15356448.0           filefi/042        QCD_HT700to1000_TuneCUETP8M1_13TeV-madgraphMLM-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM
qcd-1000         "QCD"                               1064.0               4963895    4963895.0            filefi/042        QCD_HT1000to1500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v2+AODSIM
wg               "W#gamma"                           510.9                4309734    4148674631.89        filefi/042        WGToLNuG_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM # GenXSecAnalyzer
zg               "Z#gamma"                           117.864              4451319    1059157384.28        filefi/042        ZGTo2LG_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM
ttg              "t#bar{t}#gamma"                    3.697                4832230    33135977.1929        filefi/042        TTGJets_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM
znng-130         "Z_{inv}#gamma"                     0.1903               496324     496324.0             filefi/042        ZNuNuGJets_MonoPhoton_PtG-130_TuneCUETP8M1_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM # GenXSecAnalyzer. MCFM 305 (inclusive) = 0.231947
wnlg-130         "W#gamma"                           0.6637               480792     480792.0             filefi/042        WGJets_MonoPhoton_PtG-130_TuneCUETP8M1_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM # GenXSecAnalyzer
zllg-130         "Z#rightarrowll#gamma"              1.487e-01            491827     491827.0             filefi/042        ZLLGJets_MonoPhoton_PtG-130_TuneCUETP8M1_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM # GenXSecAnalyzer
tt               "t#bar{t}"                          831.76               42784971   90578361887.9        filefi/042        TTJets_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM
ww               "WW"                                118.7                994416     994431.676433        filefi/042        WW_TuneCUETP8M1_13TeV-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM
wz               "WZ"                                66.1                 999248     999248.0             filefi/042        WZ_TuneCUETP8M1_13TeV-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM
zz               "ZZ"                                123.188599475        996944     996944.0             filefi/042        ZZ_TuneCUETP8M1_13TeV-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v3+AODSIM
### ADD MC
add-3-1          "#scale[0.8]{ADD +3d M_{D}=1 TeV}"  -0.4084              50000      51004.4614868        filefi/042        ADDmonoPhoton_MD-1_d-3_TuneCUETP8M1_13TeV-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM
add-3-2          "#scale[0.8]{ADD +3d M_{D}=2 TeV}"  -0.05152             50000      50880.8837569        filefi/042        ADDmonoPhoton_MD-2_d-3_TuneCUETP8M1_13TeV-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM
