## LO samples
dmalo-500-150    "DMA"                               0.05312              50000      50000.0              pandaf/004           DarkMatter_MonoPhoton_AV_Mx-150_Mv-500_gDMgQ1_LO_13TeV-madgraph+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
dmalo-500-500    "DMA"                               4.725e-05            50000      50000.0              pandaf/004           DarkMatter_MonoPhoton_AV_Mx-500_Mv-500_gDMgQ1_LO_13TeV-madgraph+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
dmalo-995-500    "DMA"                               2.678e-04            48800      48800.0              pandaf/004           DarkMatter_MonoPhoton_AV_Mx-500_Mv-995_gDMgQ1_LO_13TeV-madgraph+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
dmalo-1000-1     "DMA"                               0.01465              50000      50000.0              pandaf/004           DarkMatter_MonoPhoton_AV_Mx-1_Mv-1000_gDMgQ1_LO_13TeV-madgraph+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
dmalo-1000-150   "DMA"                               0.01349              26800      26800.0              pandaf/004           DarkMatter_MonoPhoton_AV_Mx-150_Mv-1000_gDMgQ1_LO_13TeV-madgraph+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
dmalo-1000-1000  "DMA"                               1.830e-06            50000      50000.0              pandaf/004           DarkMatter_MonoPhoton_AV_Mx-1000_Mv-1000_gDMgQ1_LO_13TeV-madgraph+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
dmalo-1995-1000  "DMA"                               1.649e-05            50000      50000.0              pandaf/004           DarkMatter_MonoPhoton_AV_Mx-1000_Mv-1995_gDMgQ1_LO_13TeV-madgraph+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
dmalo-2000-500   "DMA"                               8.975e-04            50000      50000.0              pandaf/004           DarkMatter_MonoPhoton_AV_Mx-500_Mv-2000_gDMgQ1_LO_13TeV-madgraph+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
dmalo-10000-1    "DMA"                               1.218e-07            50000      50000.0              pandaf/004           DarkMatter_MonoPhoton_AV_Mx-1_Mv-10000_gDMgQ1_LO_13TeV-madgraph+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
dmalo-10000-10   "DMA"                               1.217e-07            50000      50000.0              pandaf/004           DarkMatter_MonoPhoton_AV_Mx-10_Mv-10000_gDMgQ1_LO_13TeV-madgraph+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
dmalo-10000-50   "DMA"                               1.198e-07            50000      50000.0              pandaf/004           DarkMatter_MonoPhoton_AV_Mx-50_Mv-10000_gDMgQ1_LO_13TeV-madgraph+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
dmalo-10000-150  "DMA"                               1.076e-07            50000      50000.0              pandaf/004           DarkMatter_MonoPhoton_AV_Mx-150_Mv-10000_gDMgQ1_LO_13TeV-madgraph+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
dmalo-10000-500  "DMA"                               5.267e-08            50000      50000.0              pandaf/004           DarkMatter_MonoPhoton_AV_Mx-500_Mv-10000_gDMgQ1_LO_13TeV-madgraph+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
dmalo-10000-1000 "DMA"                               1.572e-08            50000      50000.0              pandaf/004           DarkMatter_MonoPhoton_AV_Mx-1000_Mv-10000_gDMgQ1_LO_13TeV-madgraph+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
## NLO samples
dma-500-1        "DMA"                               0.3392               51036      2.72524853322e+04    pandaf/004           DarkMatter_MonoPhoton_NLO_Axial_Mx-1_Mv-500_gDM1_gQ0p25_13TeV-madgraph+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
dma-1000-1       "DMA"                               0.04213              49070      3.68972039008e+03    pandaf/004           DarkMatter_MonoPhoton_NLO_Axial_Mx-1_Mv-1000_gDM1_gQ0p25_13TeV-madgraph+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
dma-2000-1       "DMA"                               2.897e-03            46489      2.38430238417e+02    pandaf/004           DarkMatter_MonoPhoton_NLO_Axial_Mx-1_Mv-2000_gDM1_gQ0p25_13TeV-madgraph+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM
