### Catalogs
%catalog cmsprod /home/cmsprod/catalog/t2mit
%catalog monox catalog
### Data 2017
gj04-40          "#gamma+jet"                        18360            12028839   12028839.0           mg5       cmsprod  pandaf/012   GJets_DR-0p4_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM # yes this is actually HT-40To100
gj04-100         "#gamma+jet"                        5382             23150479   23150479.0           mg5       cmsprod  pandaf/012   GJets_DR-0p4_HT-{40To100_TuneCP5_13TeV-madgraphMLM-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2,100To200_TuneCP5_13TeV-madgraphMLM-pythia8_v2+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1}+MINIAODSIM # and this is HT-100To200
gj04-200         "#gamma+jet"                        1177             49844648   49844648.0           mg5       cmsprod  pandaf/012   GJets_DR-0p4_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8_v2+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM
gj04-400         "#gamma+jet"                        132.8            39085963   39085963.0           mg5       cmsprod  pandaf/012   GJets_DR-0p4_HT-{200To400_TuneCP5_13TeV-madgraphMLM-pythia8,400To600_TuneCP5_13TeV-madgraphMLM-pythia8_v2}+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM # wrongly-named (invalidated) v1 + renamed v2
gj04-600         "#gamma+jet"                        44.25            8345712    8345712.0            mg5       cmsprod  pandaf/012   GJets_DR-0p4_HT-600ToInf_TuneCP5_13TeV-madgraphMLM-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2+MINIAODSIM
gju              "#gamma+jet"                        14676            45022414   1.34507255579e+07    amcatnlo  monox    pandaf/012   GJets_TuneCUETP8M1_13TeV-amcatnloUNLOPS-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM
dy-50            "Z#rightarrowll"                    6025             97706688   97706688.0           mg5       cmsprod  pandaf/012   DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8+RunIIFall17MiniAODv2-PU2017RECOSIMstep_12Apr2018_94X_mc2017_realistic_v14{,_ext1}-v1+MINIAODSIM # not GenXSecAnalyzer. GenXAnalyzer value is 4.975e+03
dy-50@           "Z#rightarrowll"                    4975             97706688   97706688.0           mg5       cmsprod  pandaf/012   DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8+RunIIFall17MiniAODv2-PU2017RECOSIMstep_12Apr2018_94X_mc2017_realistic_v14{,_ext1}-v1+MINIAODSIM # not GenXSecAnalyzer # needs to be truncated
dy-50-100        "Z#rightarrowll"                    148.4            10235418   10235418.0           mg5       cmsprod  pandaf/012   DYJetsToLL_M-50_HT-100to200_TuneCP5_13TeV-madgraphMLM-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM
dy-50-200        "Z#rightarrowll"                    40.78            10298412   10298412.0           mg5       cmsprod  pandaf/012   DYJetsToLL_M-50_HT-200to400_TuneCP5_13TeV-madgraphMLM-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM
dy-50-400        "Z#rightarrowll"                    5.689            9533635    9533635.0            mg5       cmsprod  pandaf/012   DYJetsToLL_M-50_HT-400to600_TuneCP5_13TeV-madgraphMLM-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM
dy-50-600        "Z#rightarrowll"                    1.353            8153358    8153358.0            mg5       cmsprod  pandaf/012   DYJetsToLL_M-50_HT-600to800_TuneCP5_13TeV-madgraphMLM-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM
dy-50-800        "Z#rightarrowll"                    0.6253           3089861    3089861.0            mg5       cmsprod  pandaf/012   DYJetsToLL_M-50_HT-800to1200_TuneCP5_13TeV-madgraphMLM-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM
dy-50-1200       "Z#rightarrowll"                    0.1520           625517     625517.0             mg5       cmsprod  pandaf/012   DYJetsToLL_M-50_HT-1200to2500_TuneCP5_13TeV-madgraphMLM-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM
dy-50-2500       "Z#rightarrowll"                    3.784e-03        404986     404986.0             mg5       cmsprod  pandaf/012   DYJetsToLL_M-50_HT-2500toInf_TuneCP5_13TeV-madgraphMLM-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM
dy-50-n          "Z#rightarrowll"                    6025             209251171  3.73396353382e+12    amcatnlo  cmsprod  pandaf/012   DYJetsToLL_M-50_TuneCP5_13TeV-amcatnloFXFX-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14{,_ext1}-v1+MINIAODSIM
tt               "t#bar{t}"                          831.8            153390295  3.16850245599e+11    amcatnlo  cmsprod  pandaf/012   TTJets_TuneCP5_13TeV-amcatnloFXFX-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM # not GenXSecAnalyzer
tt2l             "t#bar{t}#rightarrowll"             87.31            66979742   4.82807011481e+09    powheg    cmsprod  pandaf/012   TTTo2L2Nu_TuneCP5_PSweights_13TeV-powheg-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM
ttg              "t#bar{t}#gamma"                    3.786            14026117   9.98639957579e+07    amcatnlo  cmsprod  pandaf/012   TTGJets_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14{,_ext1}-v1+MINIAODSIM
ww               "WW"                                118.7            2000000    2.21558483790e+07    powheg    cmsprod  pandaf/012   WWTo2L2Nu_NNPDF31_TuneCP5_13TeV-powheg-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM # not GenXSecAnalyzer
ww-py            "WW"                                118.7            7718752    7718752.0            pythia    cmsprod  pandaf/012   WW_TuneCP5_13TeV-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM
wz               "WZ"                                66.10            976400     4.54813839176e+06    powheg    cmsprod  pandaf/012   WZTo3LNu_13TeV-powheg-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2+MINIAODSIM # not GenXSecAnalyzer
wz-py            "WZ"                                66.10            3928630    3928630.0            pythia    cmsprod  pandaf/012   WZ_TuneCP5_13TeV-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM # not GenXSecAnalyzer
zz               "ZZ"                                16.52            6873303    9.10651776718e+06    powheg    cmsprod  pandaf/012   ZZTo4L_13TeV_powheg_pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM # not GenXSecAnalyzer
zz-py            "ZZ"                                16.52            1949768    1949768.0            pythia    cmsprod  pandaf/012   ZZ_TuneCP5_13TeV-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM # not GenXSecAnalyzer
wwg              "WW#gamma"                          0.2147           970300     2.08288088294e+05    amcatnlo  cmsprod  pandaf/012   WWG_TuneCP5_13TeV-amcatnlo-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM
wzg              "WZ#gamma"                          0.04345          1000000    4.35198954260e+04    amcatnlo  cmsprod  pandaf/012   WZG_TuneCP5_13TeV-amcatnlo-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM
wnlg-130-o       "W#gamma"                           0.6575           2354578    2354578.0            mg5       cmsprod  pandaf/012   WGJets_MonoPhoton_PtG-130_TuneCUETP8M1_13TeV-madgraph+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6{,_ext1}-v1+MINIAODSIM # TEMPORARY THIS IS 80X
znng-130-o       "Z_{inv}#gamma"                     0.1832           2040422    2040422.0            mg5       cmsprod  pandaf/012   ZNuNuGJets_MonoPhoton_PtG-130_TuneCUETP8M1_13TeV-madgraph+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6{,_ext1}-v1+MINIAODSIM # TEMPORARY THIS IS 80X
zllg-130-o       "Z#rightarrowll#gamma"              0.1478           489448     489448.0             mg5       cmsprod  pandaf/012   ZLLGJets_MonoPhoton_PtG-130_TuneCUETP8M1_13TeV-madgraph+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM # TEMPORARY THIS IS 80X
zllg-300-o       "Z#rightarrowll#gamma"              9.083e-03        1744354    1744354.0            mg5       cmsprod  pandaf/012   ZLLGJets_MonoPhoton_PtG-300_TuneCUETP8M1_13TeV-madgraph+RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1+MINIAODSIM # TEMPORARY THIS IS 80X
### Dark photon ggH
dph-125          "Dark Photon"                       43.92            1229100    2.63922634880e+07    powheg    monox    pandaf/012   GluGluHToGDarkG_M-125_13TeV_powheg_pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM
dphv-125         "Dark Photon"                       3.748            1498520    5.78422690500e+06    powheg    monox    pandaf/012   VBFHToGDarkG_M-125_13TeV_powheg_pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM
