#pT_gamma_ATLAS        central        num_err    min (scale)        num_err    max (scale)        num_err
            175     0.63271256   0.0015518755     0.59413881   0.0012684281     0.67620531   0.0019539602
            190      0.3356243  0.00039774824     0.31483373  0.00032223759     0.35844501  0.00050708238
            250    0.084414641  7.4087508e-05    0.078904786  6.0025631e-05    0.090209651  9.5166047e-05
            400    0.009978477  9.3442703e-06    0.009272089  7.5997573e-06    0.010677827  1.2139992e-05
            700  0.00093292221  1.4165374e-06  0.00085714239  1.1804951e-06   0.0010030564  1.8424216e-06
           1000  0.00093292221  1.4165374e-06  0.00085714239  1.1804951e-06   0.0010030564  1.8424216e-06
