#pT_gamma_ATLAS        central        num_err    min (scale)        num_err    max (scale)        num_err
            175     0.54532647    0.001486996     0.51094737   0.0012166406     0.58455828   0.0018682859
            190     0.27537424   0.0003648016     0.25762101  0.00029634118     0.29510203  0.00046230116
            250    0.061848594  5.8987508e-05    0.057491248  4.7545395e-05    0.066546434  7.5764051e-05
            400   0.0059725827  5.8382983e-06   0.0054940782  4.7332805e-06   0.0064733933  7.5373041e-06
            700  0.00044251304  7.2022597e-07  0.00040145063  5.9606365e-07  0.00048511494  9.2137695e-07
           1000  0.00044251304  7.2022597e-07  0.00040145063  5.9606365e-07  0.00048511494  9.2137695e-07
